param,value,unit,comment
dIIIr,84.63060475691765,deg,CAM delta angle (IIIr representation)
eIIIr,22.963493975212646,deg,CAM epsilon angle (IIIr representation)
gIIIr,89.04753063316628,deg,CAM gamma angle (IIIr representation)
bIIIr,4.332612391513138,deg,CAM beta angle (IIIr representation)
dIl,2.7305718365732803,rad,CAM delta angle (Il representation)
eIl,1.8071996503685959,rad,CAM epsilon angle (Il representation)
gIl,3.0641720076723713,rad,CAM gamma angle (Il representation)
bIl,1.7874106516995567,rad,CAM beta angle (Il representation)
dIl,156.4502418929349,deg,CAM delta angle (Il representation)
eIl,103.54491270363854,deg,CAM epsilon angle (Il representation)
gIl,175.56412374175497,deg,CAM gamma angle (Il representation)
bIl,102.4110865991126,deg,CAM beta angle (Il representation)
dIIl,1.969726376837465,rad,CAM delta angle (IIl representation)
eIIl,3.039866739744399,rad,CAM epsilon angle (IIl representation)
gIIl,1.646404210023011,rad,CAM gamma angle (IIl representation)
bIIl,3.124921294068952,rad,CAM beta angle (IIl representation)
dIIl,112.8570081883819,deg,CAM delta angle (IIl representation)
eIIl,174.17153446954748,deg,CAM epsilon angle (IIl representation)
gIIl,94.33201260688891,deg,CAM gamma angle (IIl representation)
bIIl,179.04480146071054,deg,CAM beta angle (IIl representation)
dIIIl,1.4770827009621883,rad,CAM delta angle (IIIl representation)
eIIIl,1.170007749165555,rad,CAM epsilon angle (IIIl representation)
gIIIl,1.5541726003192624,rad,CAM gamma angle (IIIl representation)
bIIIl,1.4951779753502872,rad,CAM beta angle (IIIl representation)
dIIIl,84.63060475691765,deg,CAM delta angle (IIIl representation)
eIIIl,67.03650602478737,deg,CAM epsilon angle (IIIl representation)
gIIIl,89.04753063316628,deg,CAM gamma angle (IIIl representation)
bIIIl,85.6673876084869,deg,CAM beta angle (IIIl representation)
C0,12.0,amu,"0.18979660,0.40693539,0.01307208"
C1,12.0,amu,"-1.22885125,-0.09691140,-0.01512716"
O2,15.99491461926,amu,"1.16828904,-0.30571724,0.06489600"
H3,1.007825031898,amu,"0.30069865,1.50855383,-0.01716115"
H4,1.007825031898,amu,"-1.24548449,-1.18477224,0.01740396"
H5,1.007825031898,amu,"-1.77846007,0.31463772,0.83576090"
H6,2.014101777844,amu,"-1.72457635,0.26126699,-0.92144824"
f_a,0.00014153578650376956,,Fractional abundance of this isotopologue
