param,value,unit,comment
C_ram,0.2891597158956356,cm-1,RAM Rotational Constant
D_ab,0.09346652860124051,cm-1,RAM Off-Diagonal Rotational Constant
D_bc,-4.5007026565324115e-10,cm-1,RAM Off-Diagonal Rotational Constant
D_ac,3.8846850751676085e-08,cm-1,RAM Off-Diagonal Rotational Constant
dIr,0.3379812782718614,rad,CAM delta angle (Ir representation)
eIr,4.5271091255436666e-07,rad,CAM epsilon angle (Ir representation)
bIr,0.06017777733568365,rad,CAM beta angle (Ir representation)
gIr,4.0699542414390317e-07,rad,CAM gamma angle (Ir representation)
dIr,19.364900799414293,deg,CAM delta angle (Ir representation)
eIr,2.5938424628881283e-05,deg,CAM epsilon angle (Ir representation)
bIr,3.447932661812693,deg,CAM beta angle (Ir representation)
gIr,2.3319120084582497e-05,deg,CAM gamma angle (Ir representation)
dIIr,1.2328150485230709,rad,CAM delta angle (IIr representation)
eIIr,1.5707961676768427,rad,CAM epsilon angle (IIr representation)
bIIr,1.510618549459218,rad,CAM beta angle (IIr representation)
gIIr,1.570796302264388,rad,CAM gamma angle (IIr representation)
dIIr,70.63509920058776,deg,CAM delta angle (IIr representation)
eIIr,89.99999088320708,deg,CAM epsilon angle (IIr representation)
bIIr,86.5520673381876,deg,CAM beta angle (IIr representation)
gIIr,89.99999859450539,deg,CAM gamma angle (IIr representation)
dIIIr,1.5707961766787935,rad,CAM delta angle (IIIr representation)
eIIIr,0.3379812782718296,rad,CAM epsilon angle (IIIr representation)
bIIIr,1.5707963023087914,rad,CAM beta angle (IIIr representation)
gIIIr,0.06017777733567811,rad,CAM gamma angle (IIIr representation)
dIIIr,89.99999139898085,deg,CAM delta angle (IIIr representation)
eIIIr,19.36490079941247,deg,CAM epsilon angle (IIIr representation)
bIIIr,89.99999859704953,deg,CAM beta angle (IIIr representation)
gIIIr,3.447932661812376,deg,CAM gamma angle (IIIr representation)
dIl,0.3379812782718614,rad,CAM delta angle (Il representation)
eIl,1.570795874069673,rad,CAM epsilon angle (Il representation)
bIl,0.06017777733568365,rad,CAM beta angle (Il representation)
gIl,1.5707959196530696,rad,CAM gamma angle (Il representation)
dIl,19.364900799414293,deg,CAM delta angle (Il representation)
eIl,89.9999740607554,deg,CAM epsilon angle (Il representation)
bIl,3.447932661812693,deg,CAM beta angle (Il representation)
gIl,89.99997667249166,deg,CAM gamma angle (Il representation)
dIIl,1.2328150485230709,rad,CAM delta angle (IIl representation)
eIIl,1.591008641128439e-07,rad,CAM epsilon angle (IIl representation)
bIIl,1.510618549459218,rad,CAM beta angle (IIl representation)
gIIl,2.580956827951785e-08,rad,CAM gamma angle (IIl representation)
dIIl,70.63509920058776,deg,CAM delta angle (IIl representation)
eIIl,9.115808030550376e-06,deg,CAM epsilon angle (IIl representation)
bIIl,86.5520673381876,deg,CAM beta angle (IIl representation)
gIIl,1.4787793334710982e-06,deg,CAM gamma angle (IIl representation)
dIIIl,1.5707961766787935,rad,CAM delta angle (IIIl representation)
eIIIl,1.232815048523067,rad,CAM epsilon angle (IIIl representation)
bIIIl,1.5707963023087914,rad,CAM beta angle (IIIl representation)
gIIIl,1.510618549459218,rad,CAM gamma angle (IIIl representation)
dIIIl,89.99999139898085,deg,CAM delta angle (IIIl representation)
eIIIl,70.63509920058752,deg,CAM epsilon angle (IIIl representation)
bIIIl,89.99999859704953,deg,CAM beta angle (IIIl representation)
gIIIl,86.5520673381876,deg,CAM gamma angle (IIIl representation)
C0,12.0,amu,"0.10262280,0.42573917,-0.00000110"
C1,12.0,amu,"-1.31827901,-0.07251431,-0.00000142"
O2,17.99915961214,amu,"1.07931048,-0.29126023,0.00000163"
H3,1.007825031898,amu,"0.21706695,1.52741019,-0.00000459"
H4,1.007825031898,amu,"-1.33837252,-1.16080304,-0.00017590"
H5,1.007825031898,amu,"-1.83991596,0.31452829,0.87951318"
H6,1.007825031898,amu,"-1.84001562,0.31481241,-0.87933182"
f_a,0.0020007149407620228,,Fractional abundance of this isotopologue
